;Keq/Kpm_teo;Keq/Kpm_est;Error (%)
0;1.04496;1.021746;2.221516671397579
1;1.03849;1.0182346;1.9504655261431272
2;1.0653700000000002;1.072564;0.6752589102138651
3;1.0706399999999998;1.0791954;0.7990902834637835
4;1.0934199999999998;1.0903505;0.28072390390878765
5;1.0878499999999998;1.0852164;0.24209192374798344
6;1.08975;1.0844637;0.48509148398406104
7;1.04303;1.0092219;3.2413342444264326
8;1.1304299999999998;1.1346647;0.3746056572941858
9;1.0744599999999995;1.0845649;0.9404653723835957
10;1.0656700000000001;1.0921896;2.4885330730695387
11;1.0338899999999998;1.0162231;1.7087820749135294
12;1.1249;1.108232;1.481729813157872
13;1.0901100000000001;1.0806893;0.8641961795115427
14;1.11669;1.1257018;0.8070086673638601
15;1.0850499999999998;1.0856415;0.05451392415515988
16;1.06182;1.041883;1.8776259826739468
17;1.0621;1.0355723;2.497665905231882
18;1.04406;0.9945612;4.740992340139918
19;1.06846;1.0581857;0.961599254827723
20;1.0751700000000002;1.0741364;0.09613583145732961
21;1.0873;1.0785774;0.8022257653043979
22;1.12178;1.1023031;1.7362453140563208
23;1.03219;1.0199261;1.188146449104114
24;1.0723599999999998;1.0396569;3.0496402777331837
25;1.0808099999999998;1.0819806;0.10830636762623326
26;1.0320399999999998;1.0096706;2.167492035557907
27;1.0844299999999998;1.1033739;1.7468979237686473
28;1.03817;1.0280762;0.972271220031405
29;1.07799;1.0930425;1.3963480984532426
30;1.11093;1.1056738;0.47313602314930997
31;1.07549;1.0857207;0.9512555488481595
32;1.0504599999999995;1.0385051;1.1380654796887997
33;1.0352599999999998;1.01084;2.3588221000790774
34;1.0842100000000001;1.0629615;1.9598178249738558
35;1.10506;1.1203971;1.3878966673180917
36;1.0426799999999998;1.0205992;2.1176922905315516
37;1.0732099999999998;1.0690249;0.38995905148458965
38;1.0761599999999998;1.0902884;1.3128531677468622
39;1.1010699999999998;1.1143607;1.2070704057764317
40;1.08476;1.0627826;2.0260108018801435
41;1.0424699999999998;1.0269201;1.4916419479757945
42;1.13518;1.1326865;0.2196571661811566
43;1.10764;1.1257555;1.63550869209968
44;1.1196499999999998;1.1126302;0.6269594900403367
45;1.09319;1.0692579;2.1892026623602363
46;1.04259;1.0145621;2.688292619882665
47;1.03775;1.0345399;0.30932903174921605
48;1.08656;1.0776386;0.8210659237747716
49;1.1118;1.0930532;1.686164624700865
50;1.07386;1.0841029;0.9538365367751327
51;1.04034;1.0363156;0.3868388852796869
52;1.08025;1.0751275;0.4741974159457836
53;1.08843;1.1060774;1.6213658786000276
54;1.1197499999999998;1.1151594;0.4099671929562173
55;1.06164;1.0781453;1.5546951489416108
56;1.10838;1.0955632;1.1563567283722676
57;1.1096799999999998;1.1006502;0.813730867721497
58;1.08023;1.0752424;0.4617164706245397
59;1.0787699999999998;1.0679792;1.0002858277832372
60;1.09185;1.0817837;0.9219533538853286
61;1.06899;1.0751718;0.5782868193302453
62;1.0537899999999998;1.0608457;0.6695577571341564
63;1.05395;1.033862;1.905973267864014
64;1.08616;1.0661856;1.8389930024083478
65;1.08584;1.1166642;2.8387397055617916
66;1.0684200000000001;1.0721945;0.3532746536135635
67;1.07657;1.0991777;2.0999766074232604
68;1.06189;1.0488096;1.2317991919954394
69;1.10505;1.1030121;0.18441835564568007
70;1.07082;1.078035;0.6737824271482653
71;1.1039499999999998;1.119954;1.4497024305996846
72;1.08503;1.0845119;0.04775203392880676
73;1.02916;1.0038484;2.45943939770611
74;1.06984;1.0579029;1.115780661869689
75;1.0298100000000001;1.0158612;1.354506792262652
76;1.11104;1.1097763;0.113744017440605
77;1.06905;1.0638292;0.4883603593385571
78;1.08988;1.0635437;2.4164424220999443
79;1.09927;1.120434;1.9252818499209483
80;1.04772;1.0107409;3.5294853398031005
81;1.0847099999999998;1.0967737;1.1121630324654264
82;1.08391;1.0738544;0.9277111188998273
83;1.10576;1.0949717;0.9756496166151488
84;1.06776;1.054876;1.2066410160729244
85;1.12509;1.1090761;1.4233401495794766
86;1.1032799999999998;1.1191527;1.438679676804149
87;1.0462699999999998;1.0628732;1.5868986289947804
88;1.03321;0.9878294;4.392196437514368
89;1.0876;1.088273;0.06188381766081336
90;1.04018;1.0256811;1.3938800939611269
91;1.0376;1.0180649;1.8827239274059595
92;1.0556499999999998;1.0445546;1.0510499522669174
93;1.0424699999999998;1.0328392;0.9238463419569218
94;1.03261;1.0125617;1.9415191711862614
95;1.07134;1.0851823;1.292055663999836
96;1.02823;0.99418503;3.311026671040751
97;1.02764;0.9977214;2.911391729119002
98;1.0974;1.0718976;2.3238904753821026
99;1.1159499999999998;1.131388;1.3833907424049816
100;1.05039;1.0266551;2.2596294772165386
101;1.04164;1.0115621;2.8875514579384074
102;1.0386600000000001;1.0299674;0.836902619363121
103;1.08216;1.1047126;2.0840361384988713
104;1.0285799999999998;1.0150156;1.3187499162129754
105;1.07633;1.0847212;0.7796129085608846
106;1.05554;1.0330952;2.126376964117265
107;1.04843;1.0387672;0.9216429718929503
108;1.0622200000000002;1.0688555;0.624684534570069
109;1.0446;1.0193495;2.417245277289385
110;1.0587;1.0336806;2.3632229900206947
111;1.07926;1.08606;0.6300657070268605
112;1.08885;1.0806653;0.7516783799121042
113;1.04277;1.0367879;0.5736770768164056
114;1.10255;1.1173366;1.3411301819625514
115;1.0754700000000001;1.0663134;0.8514058073735395
116;1.10445;1.1062766;0.1653883249839932
117;1.08097;1.0763086;0.43122306307161534
118;1.0319;1.00307;2.7938756823528217
119;1.11373;1.130704;1.5240718392891655
120;1.07266;1.0408351;2.9669100986687145
121;1.06824;1.0716265;0.3170208940610896
122;1.08687;1.084812;0.1893469230587769
123;1.03061;0.9860061;4.327914428903412
124;1.05716;1.0351436;2.082597353730039
125;1.03664;0.99705386;3.8186967878875997
126;1.07944;1.0828115;0.3123355443665149
127;1.0501299999999998;0.99908304;4.861013194102102
128;1.11648;1.1049329;1.0342411647795464
129;1.1095799999999998;1.089382;1.8203236881009002
130;1.10994;1.0937339;1.4600873249084891
131;1.09093;1.0957931;0.4457781904990132
132;1.13517;1.091155;3.8773882162972435
133;1.09699;1.0885301;0.7711953956598985
134;1.03967;1.0182848;2.0569221321710796
135;1.0883899999999995;1.0813432;0.6474541312660569
136;1.0944200000000002;1.1177374;2.1305725820706476
137;1.08914;1.0848278;0.3959288315944892
138;1.10026;1.1293579;2.644641629988175
139;1.10746;1.101529;0.5355496189807198
140;1.10685;1.1063321;0.04679372318499632
141;1.0959999999999999;1.0906185;0.4910135791249395
142;1.0819599999999998;1.07259;0.86602152788755
143;1.0279699999999998;0.98315185;4.3598691513794785
144;1.04637;1.0348021;1.1055287134814065
145;1.0759100000000001;1.085769;0.9163459094036305
146;1.12698;1.1263682;0.054289781879516615
147;1.0478199999999998;1.0412027;0.6315336245437745
148;1.0397100000000001;1.0274799;1.1763004098578584
149;1.06511;1.0889508;2.2383371869548774
150;1.07848;1.0822651;0.35096975614740444
151;1.09854;1.0895027;0.8226653355731113
152;1.03989;1.0068226;3.179895367820603
153;1.10825;1.1108061;0.23064358412426544
154;1.0930099999999998;1.1021023;0.8318569512709055
155;1.05189;1.0619093;0.952506247827804
156;1.0890099999999998;1.1018293;1.177150842509696
157;1.1119700000000001;1.1141851;0.1992045498865885
158;1.0354899999999998;1.005469;2.899210559568766
159;1.0697299999999998;1.0698141;0.00786048445760481
160;1.09966;1.0842168;1.4043583367018948
161;1.1189200000000001;1.1293131;0.9288520452969541
162;1.0774;1.0848233;0.6889967301437661
163;1.12131;1.113753;0.6739473331413781
164;1.03377;0.99377316;3.8690267308047592
165;1.09291;1.0909191;0.18216166006006446
166;1.06249;1.0553926;0.6679947154615162
167;1.1069200000000001;1.1070259;0.00956363062481287
168;1.0352700000000001;1.0171336;1.7518527959599908
169;1.07448;1.0688246;0.5263337747453095
170;1.10123;1.0833904;1.6199744730738788
171;1.1269399999999998;1.1318232;0.4333134067490937
172;1.0797899999999998;1.068221;1.071414532934021
173;1.0697899999999998;1.0920987;2.0853357127233183
174;1.0262200000000001;1.0080218;1.7733203881768975
175;1.06354;1.0483499;1.4282624696464323
176;1.03647;1.0044671;3.0876793629013455
177;1.06876;1.0812273;1.1665203180573374
178;1.09897;1.0978385;0.10295813318624329
179;1.0811600000000001;1.0785793;0.23869671441064166
180;1.0485200000000001;1.020846;2.6393383765254406
181;1.10248;1.0994543;0.27444636507741377
182;1.06726;1.0724418;0.48552520753667866
183;1.10166;1.1418968;3.6523831227617594
184;1.09774;1.087484;0.9342829710730823
185;1.0466799999999998;1.0326219;1.3431172369634887
186;1.11784;1.125079;0.6475914047602719
187;1.0893199999999998;1.0897883;0.04299174534196038
188;1.04062;1.0200461;1.9770795370481322
189;1.08953;1.0773801;1.1151541353063192
190;1.10121;1.1151241;1.2635288825170046
191;1.0822699999999998;1.0814337;0.07727703516848011
192;1.06901;1.0547947;1.3297659375210582
193;1.0881599999999998;1.0943662;0.5703382607050613
194;1.10175;1.1000811;0.15147845166758028
195;1.03833;1.033688;0.4470689298582289
