;Keq/Kpm_teo;Keq/Kpm_est;Error (%)
0;1.03195;1.0330846;0.1099501881085906
1;1.08694;1.0780213;0.8205339836521977
2;1.04685;1.0446166;0.21334670588332702
3;1.05701;1.0144796;4.023648106830012
4;1.0903699999999998;1.078054;1.1295293099197619
5;1.0862699999999998;1.0707123;1.4322104120381238
6;1.0407;1.017834;2.1971799620086463
7;1.0436;1.0206617;2.1979961965494463
8;1.03693;1.0190022;1.7289306729505634
9;1.0485099999999998;1.0293486;1.8274874029179307
10;1.08089;1.061028;1.8375594470642669
11;1.0862299999999998;1.0689089;1.5946042896228891
12;1.0304799999999998;1.0128658;1.709321696291265
13;1.0796;1.0790406;0.05181117515379236
14;1.0957899999999998;1.0571829;3.5232199547206418
15;1.07757;1.0748591;0.25157137787179673
16;1.10221;1.0830274;1.7403795262711812
17;1.05016;1.0262113;2.280484711923174
18;1.0318699999999998;1.0211644;1.0374933599343077
19;1.0988099999999998;1.0869008;1.0838242945677579
20;1.08689;1.0683365;1.7070276829848157
21;1.07542;1.0485336;2.5000875150620243
22;1.08946;1.0620421;2.5166488793681863
23;1.04336;1.0199158;2.2469886551055476
24;1.03437;1.0029504;3.0375562017090765
25;1.0319599999999998;1.0020323;2.9000852776985595
26;1.1107;1.0770112;3.0331117666582306
27;1.0393099999999995;1.011057;2.718436343948958
28;1.07309;1.0633445;0.9081737219452576
29;1.02834;0.9989804;2.85504765481532
30;1.12662;1.1179667;0.7680804604477152
31;1.08037;1.0647043;1.4500311029477453
32;1.10855;1.0766714;2.8757059290769162
33;1.10526;1.0860915;1.734296147322829
34;1.09145;1.0682883;2.1221012173322
35;1.03569;1.013421;2.150155099036859
36;1.08439;1.0701582;1.312420514822036
37;1.06634;1.0539386;1.1629848600782182
38;1.06165;1.0556881;0.5615652261584068
39;1.0952;1.0785713;1.5183236322061566
40;1.0921899999999998;1.0707195;1.965822749290271
41;1.03361;1.0119303;2.0974694044221014
42;1.0426799999999998;1.0285879;1.35152325209636
43;1.07504;1.0676485;0.6875530206867935
44;1.03386;1.0175319;1.57933648698525
45;1.0546099999999998;1.033989;1.9553244671756458
46;1.06675;1.0417421;2.3443087498924418
47;1.06467;1.0473578;1.6260627591008803
48;1.08371;1.0631272;1.8992940849187783
49;1.07338;1.0481989;2.3459596443243793
50;1.03476;1.0010427;3.258463445078977
51;1.0478199999999998;1.0182834;2.818865152699637
52;1.0392199999999998;1.0123315;2.587374593609515
53;1.09165;1.0752733;1.500180884407438
54;1.1290299999999998;1.1068659;1.9631114431383228
55;1.07275;1.0527421;1.8651015051204185
56;1.03533;1.0253719;0.9618277127543445
57;1.02819;0.9993142;2.808411970821111
58;1.02724;1.0054848;2.117828412811854
59;1.03294;1.011921;2.034866675279522
60;1.08423;1.0648038;1.7917011399925873
61;1.08673;1.0820239;0.4330552184951296
62;1.0744;1.0777164;0.30867000701972264
63;1.0844;1.0768546;0.6958145885967084
64;1.1009999999999998;1.0514317;4.502120264869274
65;1.07989;1.0731227;0.6266619941040198
66;1.06415;1.0554092;0.8213886163660669
67;1.0419;1.0093166;3.127309376498497
68;1.08451;1.0690947;1.4214107847830693
69;1.08164;1.0628377;1.7383122002424627
70;1.0738199999999998;1.0632439;0.9849075294931089
71;1.0589699999999995;1.0586431;0.03086936873806619
72;1.07181;1.0717208;0.008318774152788252
73;1.0339;1.0255616;0.8065024546652694
74;1.09695;1.0847683;1.1105068336673642
75;1.14632;1.1179143;2.4779887781430046
76;1.11584;1.0883034;2.4677868897230417
77;1.07741;1.0602651;1.5913102496262357
78;1.0856599999999998;1.0541043;2.9065887887996493
79;1.04985;1.0257308;2.2973902640969683
80;1.1324299999999998;1.1036843;2.5384080124409873
81;1.0484399999999998;1.0296009;1.7968735751826836
82;1.0859599999999998;1.0712827;1.3515466124301088
83;1.0607399999999998;1.053417;0.6903701762950414
84;1.0566;1.0449095;1.1064284276086755
85;1.0672499999999998;1.0570211;0.9584313841886829
86;1.06675;1.0551671;1.08581401716778
87;1.08245;1.0626307;1.8309710950761935
88;1.07848;1.0726075;0.5445147575818248
89;1.1040199999999998;1.0780629;2.3511447292490844
90;1.11351;1.0863221;2.441642269212596
91;1.0508;1.0317324;1.8145755619706838
92;1.07683;1.0578296;1.76447364449546
93;1.0826;1.0714375;1.0310846050719826
94;1.03449;1.0091681;2.447761888392196
95;1.12773;1.1056321;1.959505668317357
96;1.08249;1.0504172;2.9628740376620604
97;1.05264;1.0390089;1.2949483375415975
98;1.10505;1.0834814;1.9518183785905463
99;1.06559;1.0510336;1.3660398402782528
100;1.11784;1.0897601;2.511981582450493
101;1.04055;1.0224116;1.7431565177909862
102;1.08479;1.0695889;1.401294295446415
103;1.0783699999999998;1.0533403;2.321066441129966
104;1.10466;1.0785583;2.362869501247704
105;1.10856;1.1010491;0.6775397281243419
106;1.09927;1.0874388;1.0762759110498268
107;1.04064;1.0257039;1.435279538270733
108;1.03339;1.0088167;2.377929043712853
109;1.04876;1.0363612;1.1822325890785899
110;1.09531;1.0776882;1.60883976562928
111;1.0640699999999998;1.0465508;1.6464376655274537
112;1.08879;1.065248;2.162215620760231
113;1.0366799999999998;1.0164957;1.9470130946020876
114;1.11357;1.0979707;1.400834783099849
115;1.07555;1.0584038;1.5941751102463297
116;1.03958;1.0209117;1.7957546727526408
117;1.06297;1.0403131;2.1314689354659797
118;1.0489799999999998;1.046578;0.2289796126018416
119;1.07463;1.0412809;3.1033131711146615
120;1.03339;1.0196661;1.3280488773375103
121;1.0840299999999998;1.0672897;1.5442644534873564
122;1.0454199999999998;1.0182569;2.598295164173026
123;1.04428;1.0253155;1.8160337124542352
124;1.08621;1.0683012;1.6487418761842259
125;1.12579;1.0905021;3.1344972946829426
126;1.14778;1.108429;3.428448389227467
127;1.0487499999999998;1.0454757;0.312207736900779
128;1.05065;1.0352393;1.4667740089642782
129;1.0317899999999998;1.0261356;0.5480219957158853
130;1.10299;1.0769151;2.364015546800134
131;1.04167;1.0126846;2.782591063970323
132;1.06053;1.0268782;3.1731080003107666
133;1.10188;1.0839942;1.6232121318343928
134;1.10567;1.0824565;2.099498988321316
135;1.11458;1.1004248;1.2700060524567605
136;1.0334899999999998;1.0338743;0.037182101439888225
137;1.05639;1.0531683;0.3049728969447928
138;1.0801899999999998;1.0641388;1.4859635709037462
139;1.0772199999999998;1.0588355;1.7066609941136317
140;1.0740599999999998;1.0612155;1.1958810583123347
141;1.07857;1.0662054;1.1463899100561943
142;1.06354;1.0562634;0.6841823713389813
143;1.03601;1.0228281;1.272371684460931
144;1.08371;1.0583482;2.3402774853488997
145;1.12223;1.0963756;2.3038428305823317
146;1.09361;1.0823637;1.0283625141908763
147;1.0933399999999998;1.0792723;1.2866747578395596
148;1.0800899999999998;1.069301;0.9988973902024973
149;1.1107;1.0964186;1.285800021978593
150;1.08418;1.055836;2.6143295121167793
151;1.07486;1.0553427;1.81580166204239
152;1.0639299999999998;1.051603;1.1586326513141172
153;1.0525799999999998;1.033148;1.8461256808767326
154;1.03082;1.0146855;1.5652090967336465
155;1.0742699999999998;1.0559206;1.7080807533382258
156;1.04557;1.032254;1.2735655540426207
157;1.0511199999999998;1.0228682;2.687784797824641
158;1.09912;1.074237;2.2639030295781013
159;1.12433;1.0921055;2.866106227651408
160;1.05548;1.0441651;1.0720113663990158
161;1.08864;1.0918565;0.2954585211617558
162;1.07185;1.0582407;1.269706387614814
163;1.06943;1.0685079;0.08622258822174703
164;1.0689499999999998;1.0493557;1.8330375307028477
165;1.1285599999999998;1.0869988;3.682673468413659
166;1.10227;1.0763397;2.3524434412904807
167;1.10791;1.0755591;2.9199899584163846
168;1.04158;1.0334878;0.776916148212589
169;1.03267;1.0135853;1.848089994307363
170;1.09699;1.0697923;2.47930512945419
171;1.09068;1.0776526;1.1944315852944805
172;1.02649;1.0045683;2.1355942684132203
173;1.03747;1.022239;1.4680935542370814
174;1.1133999999999995;1.090105;2.09223488748915
175;1.02832;1.0086653;1.911338566064417
176;1.0379999999999998;1.0304766;0.7248005655689096
177;1.11304;1.0694289;3.918195146099908
178;1.04216;1.0180281;2.3155619033493684
179;1.02865;1.0064998;2.153330354983062
180;1.05589;1.0306697;2.3885358154289933
181;1.0793199999999998;1.0599031;1.7989896567814974
182;1.04903;1.038205;1.0319030361132357
183;1.04258;1.0179976;2.3578408860778897
184;1.09326;1.0723459;1.9130076238161302
185;1.0369099999999998;1.0248165;1.1663005408836198
186;1.06825;1.0514002;1.5773288433093626
187;1.10814;1.0951308;1.173967079893624
188;1.1539;1.1209058;2.8593676271445974
189;1.0680299999999998;1.0612776;0.63222681526301
190;1.1161599999999998;1.090483;2.3004810949531014
191;1.10278;1.0840449;1.6988943108243073
192;1.10445;1.0894811;1.3553247914177562
193;1.0423999999999998;1.0017135;3.9031548035300125
194;1.04714;1.0331116;1.3396897964336154
195;1.0820299999999998;1.0609292;1.9501142120283608
196;1.03247;1.010669;2.1115390281348785
197;1.04986;1.0182064;3.0150345802361644
198;1.08807;1.0684123;1.8066572992031344
199;1.08553;1.0642107;1.963957393618453
200;1.08216;1.0697912;1.1429735180754765
201;1.04354;1.0254323;1.7352139590870632
202;1.04198;1.0210526;2.0084263658374284
203;1.03255;1.0150952;1.6904523832031135
204;1.0290899999999998;1.0188892;0.9912457835097366
205;1.10746;1.0989563;0.7678519755259142
206;1.03984;1.0233171;1.588984976770117
207;1.0344399999999998;1.0111091;2.2554122333593543
208;1.0896;1.0827796;0.6259502643355449
209;1.0658299999999998;1.0393155;2.4876892081826445
210;1.07664;1.0747237;0.17798701975246434
211;1.04151;1.0215652;1.914988920095295
212;1.08078;1.0865015;0.5293842547849398
213;1.0920899999999998;1.0799958;1.10744065224289
214;1.09299;1.0683308;2.2561263350526626
215;1.09465;1.0910664;0.32737765736692903
216;1.09802;1.0858854;1.1051341924130422
217;1.06403;1.0596297;0.41355236918167176
218;1.07591;1.054218;2.0161487654405015
219;1.0673199999999998;1.0531292;1.3295734955784244
220;1.04575;1.0184379;2.611727239183335
221;1.03959;1.0228375;1.6114507021334465
222;1.07061;1.0643699;0.5828530542500543
223;1.09012;1.057029;3.0355365587865126
224;1.06024;1.0419074;1.7290962711150943
225;1.03218;1.0130628;1.8521154508239879
226;1.13734;1.1015207;3.1493961753417925
227;1.05892;1.0192646;3.744893021259885
228;1.12817;1.0983738;2.6411116486162323
229;1.10373;1.0510693;4.771161457643211
230;1.07904;1.068847;0.9446414410714435
231;1.08131;1.0720488;0.8564811846457412
232;1.07482;1.0607421;1.3097877024725932
233;1.0784699999999998;1.0606091;1.656133017223874
234;1.0790099999999998;1.057358;2.006651791501766
235;1.11876;1.0871396;2.826378626709026
236;1.10794;1.0862948;1.9536463851125725
237;1.0923999999999998;1.0655954;2.453735956382665
238;1.07803;1.0581468;1.8443981731979557
239;1.06189;1.0514088;0.9870355968890081
240;1.08346;1.0684091;1.389152781483157
241;1.07072;1.0541189;1.5504640159105203
242;1.03385;1.0132471;1.9928294915770537
243;1.07627;1.0614786;1.3743191943351718
244;1.06699;1.0456283;2.002051635921815
245;1.08507;1.0598222;2.3268358973318937
246;1.05523;1.0374115;1.6885938288598896
247;1.08295;1.0775701;0.4967837151169459
248;1.09121;1.067135;2.206268602100062
249;1.11753;1.0963883;1.891820354143694
250;1.06789;1.0621618;0.536403258243412
251;1.0356599999999998;1.0206916;1.4452973732221484
252;1.04953;1.0427672;0.644367755912689
253;1.04438;1.024923;1.8630223714460061
254;1.1133799999999998;1.0833238;2.6995422653003196
255;1.05955;1.0452813;1.3466763241002677
256;1.0806099999999998;1.0609628;1.8181586130756864
257;1.05018;1.0383606;1.1254646152921302
258;1.12048;1.0938325;2.3782224735497985
259;1.0927099999999998;1.0619589;2.814204223011673
260;1.09902;1.0689454;2.7364917956514407
261;1.02913;1.0033963;2.5005322302039916
262;1.0713;1.0664383;0.45381150948480903
263;1.0496899999999998;1.0399138;0.9313441552570438
264;1.02887;1.010157;1.818792549340999
265;1.04289;1.0242246;1.7897727527444203
266;1.0766999999999998;1.0734335;0.3033789904588804
267;1.07799;1.083508;0.5118799505519601
268;1.10042;1.0830321;1.5801120304003557
269;1.03001;1.001227;2.7944368290263104
270;1.07042;1.0478742;2.1062562111120195
271;1.10374;1.0883807;1.3915691748651569
272;1.0839799999999995;1.0768667;0.6562163555792542
273;1.07984;1.0386233;3.816923527810138
