;Keq/Kpm_teo;Keq/Kpm_est;Error (%)
0;1.08541;1.1250813;3.6549599446728562
1;1.11992;1.116975;0.26296969098409434
2;1.1095799999999998;1.1406736;2.802288919243041
3;1.05189;1.0693043;1.6555292890196742
4;1.09622;1.1140664;1.6279909489866518
5;1.0417299999999998;1.0447307;0.28804616355108564
6;1.03006;1.0389841;0.8663631523868135
7;1.04601;1.064039;1.723596517060112
8;1.08151;1.1121835;2.8361690277969585
9;1.07723;1.0915568;1.3299655125502277
10;1.03664;1.0388541;0.21358641011973573
11;1.05988;1.0605682;0.06493314930271886
12;1.1181199999999998;1.1246713;0.585924586690938
13;1.07734;1.0919363;1.3548508241385682
14;1.09615;1.1073945;1.025813699165567
15;1.08369;1.1122032;2.6311251736744126
16;1.04084;1.0540264;1.2668964759378367
17;1.06736;1.1020079;3.2461274458253664
18;1.0958;1.1089346;1.198634868078053
19;1.0833499999999998;1.1036065;1.869798539589042
20;1.0334899999999998;1.034374;0.08553528742106609
21;1.02701;1.0378293;1.0534736662347193
22;1.02724;1.0239685;0.31847881939378836
23;1.0784699999999998;1.0849514;0.6009810895839588
24;1.08024;1.0864353;0.5735131075653533
25;1.0406099999999998;1.0544931;1.3341280257486345
26;1.1014;1.1106222;0.8373132002251987
27;1.0755199999999998;1.1087496;3.089633671806828
28;1.06229;1.0833482;1.9823358048807318
29;1.05204;1.0763404;2.3098396387423215
30;1.0624599999999995;1.1041837;3.9270818533067673
31;1.09505;1.096764;0.1565196536881716
32;1.09719;1.1072671;0.9184499806016255
33;1.08914;1.0916984;0.23490167717933946
34;1.08024;1.1082987;2.597446801141034
35;1.03626;1.0406694;0.42551495021949826
36;1.03932;1.0508183;1.1063314560530222
37;1.0346799999999998;1.0477157;1.2598739619894352
38;1.0553;1.0803587;2.3745611359426357
39;1.0809;1.1142055;3.081272978248426
40;1.036;1.0406342;0.44731228508083665
41;1.12628;1.1327512;0.5745663978025847
42;1.0832700000000002;1.0913795;0.7486151446345358
43;1.08944;1.0969911;0.6931140920387242
44;1.11858;1.1310813;1.1176082798855378
45;1.0811600000000001;1.1038961;2.102939532746862
46;1.07741;1.1057854;2.633664981116464
47;1.10173;1.130012;2.5670568442243513
48;1.08354;1.0973487;1.2744051934362401
49;1.06704;1.0686418;0.15011450432465628
50;1.09397;1.121939;2.5566463306045804
51;1.05831;1.0749636;1.5736003289313336
52;1.1203599999999998;1.1230904;0.24370616504393544
53;1.10141;1.0998374;0.14277858645639277
54;1.0769600000000001;1.0892376;1.1400210558083992
55;1.07933;1.1048282;2.3624135794653864
56;1.06353;1.0931925;2.7890570226294424
57;1.09627;1.1129079;1.5176814566782704
58;1.02954;1.0393049;0.9484675180815548
59;1.0352799999999998;1.0550222;1.9069468824915812
60;1.14965;1.1468349;0.24487015080422422
61;1.0341699999999998;1.0313237;0.27522831440260587
62;1.0560100000000001;1.071964;1.5107835624128945
63;1.04283;1.0618253;1.8215121756319492
64;1.09222;1.1092337;1.5577206965521924
65;1.09235;1.1105838;1.6692252662649325
66;1.05198;1.0585055;0.6203098087161835
67;1.0555700000000001;1.0802215;2.335376505142195
68;1.07806;1.1047926;2.4796945355238065
69;1.04872;1.0559351;0.6879953108969391
70;1.0495700000000001;1.0720633;2.143099253564051
71;1.1277199999999998;1.1405421;1.1369976185367268
72;1.1052799999999998;1.1211412;1.435038659637503
73;1.0954700000000002;1.1084294;1.183001991408531
74;1.07817;1.1118996;3.1284133609826252
75;1.05015;1.0564947;0.6041720544293603
76;1.12919;1.1364694;0.6446536159778116
77;1.11237;1.1159562;0.32239158267751733
78;1.03846;1.0566003;1.7468493981599578
79;1.0938099999999995;1.0988433;0.46016548626792375
80;1.07255;1.0969075;2.2709893666804954
81;1.11224;1.1009462;1.0154114244207577
82;1.1146299999999998;1.1401196;2.2868173844508854
83;1.09833;1.1073939;0.8252402116809645
84;1.0840100000000001;1.0868977;0.2663933752761877
85;1.11381;1.1152062;0.12535725192501854
86;1.1401099999999995;1.1382117;0.1664990972507503
87;1.0660100000000001;1.0846288;1.746589658569
88;1.10811;1.1179124;0.8846063738941417
89;1.1033799999999998;1.1008289;0.2312090093979693
90;1.04036;1.0515054;1.071306704796517
91;1.13253;1.137039;0.3981303940499026
92;1.1126699999999998;1.1319977;1.7370563155221752
93;1.10255;1.1290095;2.399844473697434
94;1.05059;1.0674548;1.6052708393273076
95;1.0777099999999995;1.0997314;2.043355384333495
96;1.0973499999999998;1.1195652;2.024445116815971
97;1.0785200000000001;1.0902011;1.083071194792224
98;1.07758;1.0893618;1.0933561167009604
99;1.07318;1.0982985;2.3405719126427615
100;1.04227;1.0634902;2.0359554010965257
101;1.1000099999999997;1.1070893;0.643565156876175
102;1.0318599999999998;1.0403202;0.8198939783266108
103;1.1247200000000002;1.1351769;0.9297333602096548
104;1.04082;1.0497057;0.8537253117419701
105;1.08265;1.0926354;0.9223103627857855
106;1.0351899999999998;1.0444564;0.8951364217490865
107;1.06256;1.1120085;4.653709194348212
108;1.02874;1.0414352;1.2340573613564907
109;1.07265;1.0783017;0.5268883761818071
110;1.0777099999999995;1.1038419;2.4247618399663176
111;1.0380200000000002;1.0512087;1.2705665124302936
112;1.0763699999999998;1.1107152;3.1908312971496846
113;1.0325699999999998;1.0446255;1.1675257567212871
114;1.03945;1.0543696;1.435332995792783
115;1.06666;1.0942583;2.5873575844828336
116;1.1054700000000002;1.1218204;1.4790496195375167
117;1.0669499999999998;1.0821692;1.426418777638166
118;1.1121;1.1231551;0.9940758056750311
119;1.08199;1.0997672;1.643010388207398
120;1.1140299999999999;1.125665;1.0444018040011853
121;1.0579100000000001;1.0771636;1.8199636150308456
122;1.09616;1.1121187;1.4558751467213507
123;1.1203100000000001;1.1299987;0.8648216948383233
124;1.0585200000000001;1.1026511;4.169134190395798
125;1.06805;1.1001842;3.0086795743845256
126;1.0715299999999999;1.0926453;1.970573620312361
127;1.11543;1.1310022;1.3960703700709067
128;1.0687200000000001;1.0941269;2.37732425458113
129;1.10924;1.1079689;0.11458959019251637
130;1.04444;1.041945;0.23888585066276133
131;1.0491899999999998;1.05843;0.8806752290964823
132;1.0672499999999998;1.1000264;3.0711050920448657
133;1.07513;1.1010602;2.411815506388352
134;1.05177;1.059551;0.7398005833112448
135;1.0552499999999998;1.0959483;3.8567484964327092
136;1.0849099999999998;1.092084;0.6612576322946617
137;1.1083299999999998;1.1357652;2.475363374886856
138;1.0621;1.0652456;0.2961706390107852
139;1.07991;1.0887811;0.8214683068907975
140;1.07346;1.1020095;2.6595806863614246
141;1.0489799999999998;1.0588555;0.9414415527325322
142;1.0888599999999995;1.1081313;1.7698592548277292
143;1.12002;1.1246964;0.4175259316364123
144;1.07741;1.0930643;1.4529573854432323
145;1.0903299999999998;1.1195691;2.681670979120607
146;1.03001;1.0432783;1.2881755055740514
147;1.0433;1.0570002;1.3131563516999198
148;1.11109;1.1157132;0.41609939033971843
149;1.02796;1.0319139;0.3846333061119417
150;1.11583;1.1397288;2.1417944096463732
151;1.0921899999999998;1.1040219;1.0833194638956956
152;1.06311;1.098629;3.3410463454143384
153;1.07564;1.0773027;0.1545772117696238
154;1.07396;1.0901825;1.5105351038123667
155;1.12915;1.1283898;0.06732184761405326
156;1.1041299999999998;1.1315902;2.4870483687823
157;1.04357;1.0572392;1.309847431684924
158;1.0952499999999998;1.1233289;2.563699993524521
159;1.0889;1.1050396;1.482192722712573
160;1.08031;1.1005203;1.870782755084875
161;1.1077700000000001;1.1158872;0.7327482301903765
162;1.0936700000000001;1.1054351;1.075747984341395
163;1.0986200000000002;1.129756;2.8340985796651994
164;1.0503699999999998;1.0829529;3.1020361413137554
165;1.0839;1.105207;1.965768650257994
166;1.07448;1.0958866;1.9922742253572472
167;1.07609;1.1015427;2.3652957706079025
168;1.0859899999999998;1.0949663;0.8265538707802865
169;1.0688099999999998;1.0867646;1.6798658368562707
